step,avg_waiting_time,max_waiting_time,throughput,conflict_count
266,26.636363636363637,32.0,50,0
267,27.636363636363637,33.0,50,0
268,28.636363636363637,34.0,50,0
269,29.636363636363637,35.0,50,0
270,12.272727272727273,33.0,50,0
271,1.6363636363636365,18.0,50,0
272,0.0,0.0,50,0
273,0.0,0.0,50,0
274,0.0,0.0,50,0
275,0.0,0.0,50,0
276,0.0,0.0,50,0
277,0.0,0.0,50,0
278,0.0,0.0,50,0
279,0.0,0.0,50,0
280,0.0,0.0,50,0
281,0.0,0.0,50,0
282,0.3333333333333333,1.0,50,0
283,0.6666666666666666,2.0,50,0
284,1.3333333333333333,3.0,50,0
285,2.0,4.0,50,0
286,4.0,5.0,50,0
287,5.0,6.0,50,0
288,6.0,7.0,50,0
289,7.0,8.0,50,0
290,8.0,9.0,50,0
291,9.0,10.0,50,0
292,10.0,11.0,50,0
293,11.0,12.0,50,0
294,12.0,13.0,50,0
295,13.0,14.0,50,0
296,14.0,15.0,50,0
297,15.0,16.0,50,0
298,16.0,17.0,50,0
299,17.0,18.0,50,0
300,18.0,19.0,50,0
301,19.0,20.0,50,0
302,20.0,21.0,50,0
303,21.0,22.0,50,0
304,22.0,23.0,50,0
305,23.0,24.0,50,0
306,24.0,25.0,50,0
307,25.0,26.0,50,0
308,26.0,27.0,50,0
309,27.0,28.0,50,0
310,28.0,29.0,50,0
311,29.0,30.0,50,0
312,30.0,31.0,50,0
313,31.0,32.0,50,0
314,32.0,33.0,50,0
315,0.0,0.0,50,0
316,0.0,0.0,50,0
317,0.0,0.0,50,0
318,0.0,0.0,50,0
319,0.0,0.0,50,0
320,0.0,0.0,50,0
321,0.0,0.0,50,0
322,0.0,0.0,50,0
323,0.0,0.0,50,0
324,0.0,0.0,50,0
325,0.5,1.0,50,0
326,1.5,2.0,50,0
327,2.5,3.0,50,0
328,3.5,4.0,50,0
329,4.5,5.0,50,0
330,5.5,6.0,50,0
331,6.5,7.0,50,0
332,7.5,8.0,50,0
333,8.5,9.0,50,0
334,9.5,10.0,50,0
335,10.5,11.0,50,0
336,11.5,12.0,50,0
337,12.5,13.0,50,0
338,13.5,14.0,50,0
339,14.5,15.0,50,0
340,15.5,16.0,50,0
341,16.5,17.0,50,0
342,17.5,18.0,50,0
343,18.5,19.0,50,0
344,19.5,20.0,50,0
345,20.5,21.0,50,0
346,21.5,22.0,50,0
347,22.5,23.0,50,0
348,23.5,24.0,50,0
349,24.5,25.0,50,0
350,25.5,26.0,50,0
351,26.5,27.0,50,0
352,27.5,28.0,50,0
353,28.5,29.0,50,0
354,29.5,30.0,50,0
355,30.5,31.0,50,0
356,31.5,32.0,50,0
357,32.5,33.0,50,0
358,33.5,34.0,50,0
359,34.5,35.0,50,0
360,0.0,0.0,50,0
361,0.0,0.0,50,0
362,0.0,0.0,50,0
363,0.0,0.0,50,0
364,0.0,0.0,50,0
365,0.0,0.0,50,0
366,0.0,0.0,50,0
367,0.0,0.0,50,0
368,0.5,1.0,50,0
369,1.0,2.0,50,0
370,1.5,3.0,50,0
371,2.0,4.0,50,0
372,2.5,5.0,50,0
373,6.0,6.0,50,0
374,7.0,7.0,50,0
375,8.0,8.0,50,0
376,9.0,9.0,50,0
