id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,列1
84,168,-E17_0,5.1,0,0,237,E4_0,27.1,12.99,69,259.1,29,3,0,50.68,0,tripinfo_84,DEFAULT_VEHTYPE,1.15,,47.4
77,154,-E2_0,5.1,0,0,239,-E10_0,63.43,13.49,85,237.97,48,2,0,65.27,0,tripinfo_77,DEFAULT_VEHTYPE,0.98,,47.4
71,143,-E0_0,5.1,0,1,240,E9_0,40.96,12.48,97,402.04,32,3,0,63.73,0,tripinfo_71,DEFAULT_VEHTYPE,0.97,,47.4
92,184,-E12_0,5.1,0,0,242,E1_0,58.45,7.38,58,227.94,23,1,0,37.65,0,tripinfo_92,DEFAULT_VEHTYPE,0.83,,47.4
75,150,-E4_0,5.1,0,0,247,-E10_0,63.43,13.61,97,295.65,57,2,0,72.68,0,tripinfo_75,DEFAULT_VEHTYPE,0.98,,47.4
65,130,-E19_0,5.1,0,0,249,-E1_0,58.45,10.28,119,195.23,70,4,0,100.19,0,tripinfo_65,DEFAULT_VEHTYPE,0.88,,47.4
80,163,-E0_0,5.1,0,3,251,-E1_0,58.45,11.94,88,366.77,28,3,0,58.47,0,tripinfo_80,DEFAULT_VEHTYPE,1.03,,47.4
62,124,E6_0,5.1,0,0,252,E2_0,39.12,13.78,128,214.85,88,4,0,109.92,0,tripinfo_62,DEFAULT_VEHTYPE,1.02,,47.4
60,138,E4_0,5.1,0,18,253,-E1_0,58.45,13.08,115,284.13,59,4,0,93.22,0,tripinfo_60,DEFAULT_VEHTYPE,1.08,,47.4
74,148,-E12_0,5.1,0,0,254,-E10_0,63.43,12.51,106,359.26,53,3,0,76.17,0,tripinfo_74,DEFAULT_VEHTYPE,0.96,,47.4
87,174,E11_0,5.1,0,0,257,E18_0,25.15,13.95,83,257.63,43,2,0,63.07,0,tripinfo_87,DEFAULT_VEHTYPE,1.04,,47.4
86,172,-E22_0,5.1,0,0,259,-E10_0,63.43,13.21,87,307.12,45,1,0,62.81,0,tripinfo_86,DEFAULT_VEHTYPE,1,,47.4
76,152,-E21_0,5.1,0,0,273,E11_0,38.72,4.75,121,301.75,76,3,0,98.41,0,tripinfo_76,DEFAULT_VEHTYPE,1.03,,47.4
89,178,E7_0,5.1,0,0,275,E19_0,18.28,11.77,97,122.11,73,2,0,86.99,0,tripinfo_89,DEFAULT_VEHTYPE,1.02,,47.4
90,180,E3_0,5.1,0,0,275,E20_0,21.59,11.06,95,128.32,71,2,0,84.19,0,tripinfo_90,DEFAULT_VEHTYPE,1.02,,47.4
68,136,E11_0,5.1,0,0,276,E6_0,54.42,8.33,140,218.96,99,4,0,122.55,0,tripinfo_68,DEFAULT_VEHTYPE,1.04,,47.4
94,191,E7_0,5.1,0,3,276,-E6_0,54.42,9.04,85,89.05,64,2,0,77.77,0,tripinfo_94,DEFAULT_VEHTYPE,1.09,,47.4
45,90,-E15_0,5.1,0,0,279,-E7_0,29.56,13.66,189,330.29,131,4,0,164.49,0,tripinfo_45,DEFAULT_VEHTYPE,1.09,,47.4
69,139,E2_0,5.1,0,1,280,-E5_0,60.98,13.03,141,338.83,91,3,0,115.28,0,tripinfo_69,DEFAULT_VEHTYPE,1.02,,47.4
95,190,-E14_0,5.1,0,0,282,-E1_0,58.45,14.57,92,144.36,65,2,0,80.69,0,tripinfo_95,DEFAULT_VEHTYPE,1.06,,47.4
66,139,E3_0,5.1,0,7,286,-E3_0,33.94,11.28,147,423.86,77,3,0,109,0,tripinfo_66,DEFAULT_VEHTYPE,0.91,,47.4
91,182,-E22_0,5.1,0,0,288,-E2_0,39.12,11.64,106,199.75,69,2,0,87.53,0,tripinfo_91,DEFAULT_VEHTYPE,0.89,,47.4
93,186,-E1_0,5.1,0,0,289,-E8_0,58.81,10.37,103,245.82,56,3,0,82.32,0,tripinfo_93,DEFAULT_VEHTYPE,0.92,,47.4
99,198,E7_0,5.1,0,0,290,-E0_0,59.98,14.24,92,206.33,59,2,0,76.16,0,tripinfo_99,DEFAULT_VEHTYPE,1.1,,47.4
50,100,-E11_0,5.1,0,0,293,E11_0,38.72,10.83,193,477.71,120,5,0,147.76,0,tripinfo_50,DEFAULT_VEHTYPE,0.85,,47.4
67,147,E4_0,5.1,0,13,293,-E2_0,39.12,11.85,146,386.28,71,4,0,110.33,0,tripinfo_67,DEFAULT_VEHTYPE,0.91,,47.4
98,197,-E0_0,5.1,0,1,297,E11_0,38.72,13.65,100,298.51,53,3,0,78.67,0,tripinfo_98,DEFAULT_VEHTYPE,1.12,,47.4
88,176,-E18_0,5.1,0,0,329,-E5_0,60.98,12.75,153,244.22,114,3,0,132.8,0,tripinfo_88,DEFAULT_VEHTYPE,1.01,,47.4
97,195,E10_0,5.1,0,1,411,-E11_0,38.72,11.84,216,379.04,155,4,0,182.66,0,tripinfo_97,DEFAULT_VEHTYPE,0.91,,47.4
